Index,Type,Synonyms,Antonyms
40,ADJ," ['primitive', 'bumpy', 'gross', 'abrasive', 'crude', 'blunt', 'harsh', 'raw', 'rough', 'stark', 'stringent', 'stiff', 'rigorous']"," ['cut', 'still', 'weakened', 'politic', 'fluent', 'quiet', 'smooth', 'liquid', 'bland', 'placid', 'fluid']"
41,ADJ," ['boring', 'dumb', 'mute', 'dull', 'sluggish', 'slow', 'silent', 'irksome']"," ['firm', 'fast', 'degenerate', 'profligate', 'loyal', 'quick']"
42,ADJ, ['sudden'], ['gradual']
43,ADJ, ['tame']," ['unfounded', 'wild', 'crazy', 'violent', 'furious', 'idle', 'risky', 'unwarranted', 'waste', 'angry', 'hazardous']"
44,ADJ, ['orthodox']," ['unorthodox', 'maverick']"
45,ADJ," ['close', 'near', 'tight', 'dear', 'mean']"," ['far', 'distant', 'remote', 'wet']"
46,ADJ, ['western'], ['eastern']
47,ADJ, ['green']," ['right', 'mature', 'advanced', 'ripe', 'good']"
48,ADJ," ['comfortable', 'prosperous', 'easy', 'golden', 'lucky', 'favorable', 'light', 'booming', 'loose', 'gentle', 'roaring', 'soft']", ['uncomfortable']
49,ADJ," ['extensive', 'liberal', 'good', 'blanket', 'entire', 'big', 'free', 'full', 'wide', 'broad', 'total', 'extended', 'loose', 'replete']"," ['narrow', 'minute']"
50,ADJ, ['temporary']," ['lasting', 'permanent']"
51,ADJ," ['brisk', 'tonic', 'smart', 'fresh', 'sweet', 'unused', 'bright', 'rash', 'clean', 'reckless', 'refreshing', 'usual', 'wise', 'new', 'novel', 'common', 'judicious', 'heady', 'mutual']"," ['individual', 'single', 'uncommon', 'goosey', 'private', 'foolish', 'rare']"
52,ADJ," ['static', 'politic', 'still', 'silent', 'quiet', 'placid', 'liquid', 'fluent', 'smooth', 'fluid', 'bland', 'restrained', 'moderate', 'reticent', 'subdued', 'soft']"," ['active', 'dynamic', 'fighting', 'alive']"
53,ADJ, ['major']," ['modest', 'small', 'minor']"
54,ADJ, ['second']," ['foremost', 'first', 'beginning', 'initiative']"
55,ADJ," ['reliable', 'straight', 'honest', 'truthful', 'lawful', 'true', 'genuine']"," ['untrue', 'sour', 'assumed', 'phony', 'glum', 'fake', 'bogus', 'false', 'dark', 'faux']"
56,ADJ," ['intense', 'bright', 'brilliant', 'vivid', 'graphic']"," ['modest', 'soft', 'mild']"
57,ADJ," ['absolute', 'rank', 'gross', 'downright']"," ['relative', 'comparative', 'proportional']"
58,ADJ," ['bleak', 'naked', 'natural', 'crude', 'instinctive', 'tender', 'new', 'cutting', 'raw', 'sensitive', 'sore']"," ['keen', 'precipitous', 'sharp', 'abrupt', 'artificial', 'shrewd']"
59,ADJ," ['brisk', 'tonic', 'fresh', 'smart', 'sweet', 'rash', 'unused', 'bright', 'clean', 'reckless', 'refreshing', 'wise', 'new', 'novel', 'judicious', 'heady']"," ['foolish', 'goosey']"
60,ADJ, ['conscious'], ['unconscious']
61,ADJ, ['unsuccessful'], ['successful']
62,ADJ, ['unreported'], ['reported']
63,ADJ, ['willing'], ['unwilling']
64,ADJ, ['official'], ['unofficial']
65,ADJ, ['civilian'], ['military']
66,ADJ, ['half']," ['solid', 'unharmed', 'unscathed', 'unanimous', 'whole']"
67,ADJ," ['premature', 'recent', 'former', 'other', 'previous', 'onetime', 'early', 'sometime']"," ['tardy', 'later', 'old', 'late']"
68,ADJ, ['existing'], ['nonexistent']
69,ADJ," ['alike', 'same', 'like', 'comparable', 'standardized', 'similar', 'joint']"," ['unlike', 'different', 'separate', 'off']"
70,ADJ," ['plus', 'unusual', 'foreign', 'confident', 'positive', 'convinced', 'strange', 'unknown']"," ['usual', 'familiar', 'negative', 'intimate', 'damaging', 'minus', 'common']"
71,ADJ, ['invisible']," ['conspicuous', 'blatant', 'visible']"
72,ADJ, ['available'], ['unavailable']
73,ADJ, ['exempt'], ['taxable']
74,ADJ, ['most'], ['least']
75,ADJ," ['exorbitant', 'outrageous', 'steep']", ['gradual']
76,ADJ," ['unusual', 'strange', 'foreign', 'unknown']"," ['familiar', 'intimate', 'usual', 'common']"
77,ADJ," ['dark', 'assumed', 'bogus', 'fake', 'phony', 'glum', 'sour', 'off', 'false', 'untrue', 'faux']"," ['true', 'genuine', 'straight', 'honest', 'lawful', 'truthful', 'reliable']"
78,ADJ, ['encouraging'], ['discouraging']
79,ADJ, ['unclear']," ['clear', 'clean', 'open', 'light']"
80,ADJ, ['joint'], ['separate']
81,ADJ," ['running', 'surgical', 'operative', 'working']"," ['medical', 'dead', 'dismal', 'fatal']"
82,ADJ," ['significant', 'stiff', 'unharmed', 'unscathed', 'straightforward', 'solid', 'strong', 'fast', 'steady', 'secure', 'substantial', 'substantive', 'straight', 'whole', 'loyal', 'material', 'warm', 'unanimous', 'real', 'firm', 'hard', 'square']"," ['fluent', 'limpid', 'swimming', 'smooth', 'liquid', 'fluid']"
83,ADJ," ['defective', 'problematic', 'strong', 'severe', 'unfit', 'big', 'risky', 'bad', 'subtle', 'difficult', 'concentrated', 'elusive', 'tough', 'hard', 'heavy', 'sorry', 'knockout', 'speculative']"," ['tender', 'crank', 'fond', 'warm', 'sore', 'raw', 'sensitive', 'good']"
84,ADJ," ['reasoning', 'muscular', 'profound', 'sizable', 'honorable', 'sound', 'respectable', 'intelligent', 'good', 'legal', 'hefty', 'powerful', 'ample', 'heavy', 'thinking', 'healthy']", ['unhealthy']
85,ADJ," ['white', 'blank', 'light', 'uninfected', 'clear', 'fresh', 'neat', 'clean', 'fair']"," ['bleak', 'grim', 'bootleg', 'sinister', 'black', 'dark', 'fatal']"
86,ADJ," ['brisk', 'refreshing', 'tonic', 'sweet', 'fresh', 'smart', 'wise', 'unused', 'perfumed', 'new', 'novel', 'ironic', 'clean']"," ['sour', 'dry', 'glum', 'false', 'off', 'dark']"
87,ADJ," ['conventional', 'naturalized', 'accomplished', 'formal', 'established']"," ['nuclear', 'improper', 'unconventional']"
88,ADJ, ['beautiful']," ['ugly', 'worthless', 'horrible', 'slimy']"
89,ADJ," ['good', 'healthy', 'profound', 'legal', 'heavy', 'intelligent', 'sound']", ['illegal']
90,ADJ, ['anti'], ['pro']
91,ADJ," ['militant', 'hawkish', 'competitive']", ['noncompetitive']
92,ADJ, ['urban'], ['rural']
93,ADJ," ['intact', 'entire', 'constituent', 'integral', 'underlying', 'inherent', 'organic', 'constitutional']", ['unconstitutional']
94,ADJ," ['conservative', 'materialistic', 'cautious']"," ['loose', 'broad', 'big', 'liberal', 'free']"
95,ADJ, ['explicit'], ['implicit']
96,ADJ," ['even', 'politic', 'smooth', 'level', 'flat', 'bland', 'unconditional', 'plane']"," ['instinctive', 'raw', 'natural']"
97,ADJ, ['southern'], ['northern']
98,ADJ," ['important', 'essential', 'substantial', 'substantive', 'crucial']"," ['adjective', 'procedural']"
99,ADJ," ['important', 'significant', 'essential', 'substantial', 'pregnant', 'crucial']", ['unimportant']
100,ADJ," ['rum', 'peculiar', 'uneven', 'leftover', 'left', 'funny', 'odd', 'remaining']"," ['right', 'middle', 'correct', 'center', 'ripe', 'proper', 'good']"
101,ADJ," ['forthright', 'vocal', 'blunt', 'outspoken', 'frank']", ['instrumental']
102,ADJ," ['dark', 'depressed', 'humble', 'relentless', 'grim', 'small', 'gentle', 'gloomy', 'blue', 'down', 'sick', 'dismal', 'drab', 'broken', 'lowly', 'inexorable', 'black', 'modest', 'ghastly', 'miserable', 'low', 'sorry', 'downward', 'patrician', 'bluish', 'lowest']"," ['up', 'upward']"
103,ADJ, ['stupid']," ['healthy', 'fresh', 'reasoning', 'wise', 'intelligent', 'bright', 'sound', 'smart', 'thinking']"
104,ADJ," ['fragile', 'lean', 'slim', 'little', 'skimpy', 'thin', 'slight']"," ['productive', 'total', 'full', 'fat', 'compact', 'replete', 'wide', 'broad', 'thick', 'rich', 'deep', 'good', 'fertile', 'entire']"
105,ADJ, ['undesirable']," ['worthy', 'desirable']"
106,ADJ," ['sovereign', 'elementary', 'chief', 'master', 'primary', 'principal', 'independent', 'main']"," ['dependent', 'qualified', 'subject', 'subordinate']"
107,ADJ," ['cheating', 'smelly', 'dirty', 'foul']"," ['reasonable', 'middling', 'just', 'fair', 'honest', 'clean', 'mediocre', 'average']"
108,ADJ," ['dark', 'deplorable', 'sad', 'miserable', 'bad', 'grim', 'gloomy', 'blue', 'criminal', 'dismal', 'drab', 'sorry']"," ['happy', 'glad']"
109,ADJ," ['mental', 'genial', 'kind']", ['physical']
110,ADJ," ['corrupt', 'crooked', 'tainted']"," ['true', 'straight', 'straightforward', 'neat', 'consecutive', 'square']"
111,ADJ," ['fundamental', 'key', 'profound', 'underlying', 'central']", ['peripheral']
112,ADJ," ['annual', 'yearly']", ['biennial']
113,ADJ, ['residential'], ['nonresidential']
114,ADJ, ['responsible'], ['irresponsible']
115,ADJ, ['necessary'], ['unnecessary']
116,ADJ," ['latter', 'other', 'old', 'late']"," ['onetime', 'previous', 'early', 'sometime', 'former']"
117,ADJ, ['regulated'], ['unregulated']
118,ADJ, ['drunk']," ['drab', 'sedate', 'serious', 'grave', 'sober']"
119,ADJ, ['normal'], ['abnormal']
120,ADJ, ['defensive'], ['offensive']
121,ADJ," ['still', 'static', 'stable']"," ['fluid', 'unstable']"
122,ADJ, ['unable']," ['capable', 'able']"
123,ADJ," ['dusty', 'cold', 'stale', 'inhuman']"," ['hot', 'live']"
124,ADJ," ['disposed', 'prepared', 'inclined']", ['unprepared']
125,ADJ, ['prospective'], ['retrospective']
126,ADJ, ['planned']," ['unplanned', 'unwitting']"
127,ADJ," ['interested', 'concerned']",resilient
128,ADJ, ['recorded'],resilient
129,ADJ," ['summary', 'compact', 'deep']"," ['loose', 'informal', 'open', 'liberal', 'light', 'free', 'slack', 'easy', 'idle'']"
130,ADJ," ['worrisome', 'disturbing', 'worrying', 'troubling']", ['reassuring']
131,ADJ," ['rich', 'fat', 'plentiful', 'productive', 'thick', 'compact', 'ample', 'bass', 'deep', 'fertile', 'robust']", ['shallow']
132,ADJ," ['tolerable', 'enough', 'equal', 'decent', 'adequate']", ['intolerable']
133,ADJ, ['meaningful'], ['meaningless']
134,ADJ, ['tall']," ['short', 'poor', 'little', 'light', 'inadequate', 'precarious']"
135,ADJ," ['dead', 'loose', 'wild', 'unwarranted', 'unfounded', 'beat', 'moribund', 'unused', 'idle', 'numb', 'stagnant']"," ['alive', 'active', 'resilient', 'hot', 'alert', 'live']"
136,ADJ," ['naturalistic', 'realistic']", ['unrealistic']
137,ADJ, ['maximum']," ['minimal', 'minimum']"
138,ADJ," ['bleak', 'naked', 'bare', 'unfinished', 'simple', 'mere', 'elementary', 'desolate', 'plain', 'primary', 'marginal', 'stark', 'spare']"," ['compound', 'complex']"
139,ADJ," ['procedural', 'adjective']"," ['substantive', 'essential', 'substantial']"
140,ADJ, ['profitable'], ['unprofitable']
141,ADJ, ['sufficient'], ['insufficient']
142,ADJ," ['careful', 'deliberate']"," ['regardless', 'careless']"
143,ADJ, ['welcome'], ['unwelcome']
144,ADJ," ['rich', 'sizable', 'fat', 'plentiful', 'hefty', 'productive', 'ample', 'generous', 'respectable', 'deep', 'fertile', 'robust', 'healthy']"," ['meager', 'stingy']"
145,ADJ, ['hostile']," ['favorable', 'friendly']"
146,ADJ," ['dangerous', 'terrible', 'grave', 'sober', 'unsafe', 'weighty', 'sedate', 'heavy', 'hard', 'serious', 'severe', 'knockout', 'stark']"," ['secure', 'good', 'frivolous', 'safe']"
147,ADJ, ['most'], ['least']
148,ADJ, ['unrelated'], ['related']
149,ADJ, ['known']," ['obscure', 'unidentified', 'unknown', 'strange']"
150,ADJ," ['advance', 'sophisticated', 'ripe', 'modern', 'innovative', 'advanced']"," ['naive', 'primitive']"
151,ADJ, ['pessimistic']," ['optimistic', 'affirmative']"
152,ADJ, ['unfair']," ['reasonable', 'middling', 'just', 'fair', 'honest', 'clean']"
153,ADJ," ['intense', 'brilliant', 'vivid', 'glorious', 'smart', 'fresh', 'wise', 'graphic', 'bright', 'promising', 'hopeful']"," ['sluggish', 'dumb', 'dull', 'slow', 'boring', 'irksome']"
154,ADJ," ['set', 'competent', 'fit']"," ['clumsy', 'tough', 'incompetent', 'defective', 'risky', 'sorry', 'unfit', 'speculative', 'bad']"
155,ADJ," ['satisfactory', 'good', 'proper', 'ripe', 'right', 'acceptable', 'correct']"," ['unacceptable', 'improper', 'wrong', 'faulty', 'awry', 'incorrect', 'impossible']"
156,ADJ, ['edible'], ['inedible']
157,ADJ," ['straight', 'orderly', 'keen', 'dandy', 'neat', 'swell', 'clean', 'great']"," ['disorderly', 'chaotic']"
158,ADJ, ['descriptive'], ['prescriptive']
159,ADJ, ['pleasant'], ['unpleasant']
160,ADJ," ['good', 'respectable', 'ethical', 'honest', 'honorable']", ['unethical']
161,ADJ, ['guilty']," ['innocent', 'free']"
162,ADJ," ['chief', 'master', 'basic', 'main', 'elementary', 'primary', 'principal', 'introductory', 'relevant']"," ['modest', 'attendant', 'humble', 'concomitant', 'irrelevant', 'incident', 'base', 'secondary', 'lowly', 'small', 'nonessential', 'consequent', 'low', 'incidental']"
163,ADJ," ['warm', 'fond', 'partial', 'tender']", ['impartial']
164,ADJ, ['intangible']," ['real', 'tangible']"
165,ADJ," ['good', 'effective', 'efficient']", ['inefficient']
166,ADJ, ['nontoxic'], ['toxic']
167,ADJ, ['unresponsive'], ['responsive']
168,ADJ," ['calm', 'serene']", ['stormy']
169,ADJ, ['attractive'], ['unattractive']
170,ADJ," ['glad', 'happy']"," ['unhappy', 'distressed']"
171,ADJ," ['good', 'fledged', 'ripe', 'mature', 'advanced', 'right']", ['green']
172,ADJ," ['comparative', 'proportional', 'relative']"," ['rank', 'absolute', 'downright']"
173,ADJ," ['good', 'reliable', 'straight', 'honest', 'honorable', 'truthful', 'authentic', 'lawful', 'true', 'fair', 'genuine']", ['unreliable']
174,ADJ, ['verbal']," ['mathematical', 'numerical']"
175,ADJ," ['unpredictable', 'unexpected', 'unfamiliar']"," ['familiar', 'predictable', 'expected', 'intimate']"
176,ADJ," ['erect', 'vertical']"," ['prepared', 'disposed', 'inclined']"
177,ADJ," ['middle', 'center']"," ['recent', 'previous', 'tardy', 'later', 'late']"
178,ADJ, ['destructive'], ['constructive']
179,ADJ, ['continued'], ['discontinued']
180,ADJ," ['slimy', 'ugly', 'worthless', 'horrible']", ['valuable']
181,ADJ," ['faint', 'light', 'weak', 'vague', 'timid', 'shadowy', 'shy']"," ['positive', 'confident', 'convinced', 'bold']"
182,ADJ, ['socialist']," ['capitalistic', 'capitalist']"
183,ADJ," ['reflex', 'automatic', 'robotic']", ['manual']
184,ADJ, ['south'], ['north']
185,ADJ, ['male'], ['female']
186,ADJ," ['closed', 'close', 'near', 'tight', 'shut']"," ['loose', 'capable', 'distant', 'remote', 'open', 'external', 'receptive', 'unresolved', 'outdoor', 'away', 'outback', 'subject', 'clear', 'outside', 'undetermined']"
187,ADJ," ['missed', 'lost']", ['found']
188,ADJ," ['dry', 'comfortable', 'easy', 'prosperous', 'modest', 'light', 'mild', 'quiet', 'subdued', 'blue', 'loose', 'gentle', 'easygoing', 'indulgent', 'soft']"," ['rigorous', 'steady', 'stringent', 'close', 'concentrated', 'wet', 'flashy', 'severe', 'tight', 'cheap', 'knockout', 'heavy', 'firm', 'strong', 'difficult', 'tough', 'hard', 'stiff', 'flash', 'tawdry', 'loud', 'mean', 'rigid']"
189,ADJ," ['triple', 'dual', 'treble', 'double', 'multiple']"," ['individual', 'single', 'exclusive']"
190,ADJ," ['rum', 'peculiar', 'uneven', 'leftover', 'spotty', 'funny', 'left', 'odd', 'remaining']"," ['even', 'level', 'regular']"
191,ADJ, ['conditional']," ['unconditional', 'flat']"
192,ADJ, ['plausible'], ['implausible']
193,ADJ, ['concrete'], ['abstract']
194,ADJ," ['taboo', 'out']"," ['secure', 'safe', 'good']"
195,ADJ, ['displeased'], ['pleased']
196,ADJ," ['running', 'operative', 'working']", ['standing']
197,ADJ, ['unilateral'], ['multilateral']
198,ADJ, ['synthetic'], ['analytic']
199,ADJ, ['incomplete']," ['perfect', 'accomplished', 'over', 'pure', 'gross', 'complete', 'stark']"
200,ADJ," ['average', 'medium', 'mean', 'ordinary', 'middling', 'fair', 'median', 'intermediate', 'mediocre']"," ['terminal', 'last', 'final']"
201,ADJ, ['opening'], ['closing']
202,ADJ, ['more'], ['less']
203,ADJ, ['unmarked'], ['marked']
204,ADJ, ['busy']," ['loose', 'unfounded', 'unused', 'wild', 'dead', 'unwarranted', 'light', 'jobless', 'idle']"
205,ADJ, ['connected']," ['unconnected', 'disconnected']"
206,ADJ," ['sleeping', 'dormant']"," ['active', 'dynamic', 'fighting', 'alive']"
207,ADJ," ['gold', 'golden', 'lucky', 'prosperous', 'fortunate', 'favorable', 'rosy']", ['unfortunate']
208,ADJ," ['sleazy', 'tawdry', 'cheap', 'bum', 'cheesy', 'inexpensive', 'loud', 'punk', 'flashy', 'flash']", ['expensive']
209,ADJ, ['forward']," ['inverse', 'reverse', 'backward']"
210,ADJ," ['unstylish', 'unfashionable']", ['fashionable']
211,ADJ," ['external', 'outdoor', 'outside', 'international', 'away', 'remote']", ['indoor']
212,ADJ," ['illegitimate', 'outlaw']"," ['logical', 'lawful', 'legitimate']"
213,ADJ, ['fancy']," ['manifest', 'plain', 'patent', 'bare', 'spare', 'evident', 'apparent']"
214,ADJ, ['reduced'], ['increased']
215,ADJ," ['rotary', 'circular', 'round']"," ['solid', 'straight', 'straightforward', 'substantial', 'square']"
216,ADJ, ['unconvinced']," ['confident', 'convinced', 'positive']"
217,ADJ, ['absent'], ['present']
218,ADJ, ['empty']," ['total', 'full', 'wide', 'replete', 'broad', 'good', 'entire']"
219,ADJ, ['diversified'], ['undiversified']
220,ADJ," ['dark', 'sour', 'off', 'glum', 'false']", ['on']
221,ADJ," ['liberal', 'inner', 'internal', 'easy', 'informal', 'intimate', 'light', 'free', 'knowledgeable', 'open', 'loose', 'slack', 'familiar']"," ['formal', 'conventional']"
222,ADJ," ['indifferent', 'neutral']"," ['confident', 'convinced', 'plus', 'positive']"
223,ADJ, ['tasty'], ['tasteless']
224,ADJ, ['deductible'], ['nondeductible']
225,ADJ, ['immodest']," ['modest', 'mild', 'minor', 'humble', 'lowly', 'small', 'low']"
226,ADJ, ['malignant'], ['benign']
227,ADJ," ['unimaginative', 'sterile']"," ['productive', 'fat', 'prolific', 'rich', 'fertile']"
228,ADJ, ['subjective']," ['objective', 'documentary']"
229,ADJ," ['unlucky', 'doomed']"," ['lucky', 'favorable', 'golden', 'prosperous']"
230,ADJ, ['disloyal']," ['firm', 'patriotic', 'fast', 'loyal']"
231,ADJ, ['gaseous']," ['firm', 'strong', 'solid', 'substantial', 'unanimous', 'square', 'whole']"
232,NOUN," ['advance', 'plus', 'hike', 'improvement', 'raising', 'issue', 'rise', 'climb', 'lift', 'gain', 'addition', 'increase', 'approach', 'growing', 'emergence', 'feeler', 'significance','boost', 'development', 'progress', 'procession', 'simplification','upgrade', 'heave','asset', 'import', 'elevator', 'progression', 'implication', 'mount', 'profit', 'encouragement', 'overture', 'raise', 'facelift', 'growth','stock']"," ['pin', 'autumn', 'line', 'deduction',  'descent', 'decrease', 'origin', 'subtraction', 'extraction', 'dip', 'decline', 'drop', 'reduction', 'blood', 'fall', 'spill', 'surrender', 'minus', 'tumble']"
233,NOUN," ['decision', 'finding', 'rest', 'balance', 'civilization', 'application', 'pole', 'difference', 'last', 'residual', 'determination', 'shutdown', 'covering', 'purpose', 'terminal', 'completion', 'culmination', 'destination', 'devastation', 'end', 'goal', 'demise', 'ending', 'conclusion', 'burnish', 'dead', 'close', 'closing', 'polish', 'gloss', 'death', 'culture', 'coating', 'closure', 'address', 'remainder', 'destruction', 'finish']"," ['reinforcement', 'root', 'interruption', 'break', 'spirit', 'funding', 'scratch', 'outset', 'birth', 'offset', 'livelihood', 'living', 'origin', 'opening', 'theory', 'support', 'possibility', 'scuttle', 'accompaniment', 'starting', 'crack', 'enterprise', 'spread', 'backing', 'lifetime', 'beginning', 'keep', 'first', 'initiative', 'source', 'life', 'disruption', 'start', 'jump', 'indecisiveness', 'gap', 'hold']"
234,NOUN, ['absence']," ['front', 'presence', 'bearing']"
235,NOUN," ['woman', 'char']"," ['homo', 'gentleman', 'piece', 'human', 'world', 'Man', 'man']"
236,NOUN," ['superpower', 'agency', 'position', 'authority', 'magnate', 'strength', 'post', 'king', 'power', 'index', 'indicator', 'spot', 'personnel', 'part', 'function', 'queen', 'force', 'place', 'office', 'effect', 'bureau', 'violence', 'role', 'King', 'ability', 'situation', 'might', 'baron', 'mogul']", ['inability']
237,NOUN, ['right']," ['left', 'damage', 'wrong']"
238,NOUN," ['mentality', 'doubt', 'mind', 'brain', 'strait', 'judgment', 'Einstein', 'toss', 'level', 'detail', 'dealer', 'boss', 'headway', 'period', 'tip', 'intellect', 'vanguard', 'notch', 'crack', 'caput', 'clearance', 'offer', 'head', 'thinker', 'genius', 'go', 'idea', 'stop', 'motion', 'point', 'peak', 'walk', 'spot', 'principal', 'stage', 'inquiry', 'degree', 'pass', 'item', 'chief', 'flip', 'star', 'bye', 'lead', 'forefront', 'question']"," ['quarter', 'shadow', 'tail', 'rear', 'bum', 'foot', 'ass', 'behind', 'back', 'can', 'seat', 'foundation', 'base', 'bottom', 'ft', 'derriere', 'groundwork', 'infantry']"
239,NOUN," ['daytime', 'Day', 'day']"," ['dark', 'Night', 'night']"
240,NOUN, ['parent']," ['kid', 'minor', 'child', 'fry', 'youngster', 'baby']"
241,NOUN," ['warfare', 'war']", ['peace']
242,NOUN," ['loser', 'bankruptcy', 'failure']"," ['success', 'winner']"
